PROVINCIE;GEMEENTENUMMER;GEMEENTENAAM;SOORT INSTELLING;TYPE HOGER ONDERWIJS;BRIN NUMMER ACTUEEL;INSTELLINGSNAAM ACTUEEL;CROHO ONDERDEEL;CROHO SUBONDERDEEL;OPLEIDINGSCODE ACTUEEL;OPLEIDINGSNAAM ACTUEEL;OPLEIDINGSVORM;GESLACHT;2016;2017;2018;2019;2020
Drenthe;0114;Emmen;reguliere inst.;associate degree;31FR;NHL Stenden Hogeschool;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);80137;Ad Service, Welzijn & Zorg;voltijd onderwijs;vrouw;0;0;0;13;25
Drenthe;0114;Emmen;reguliere inst.;associate degree;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);80071;Ad ICT-Beheer;voltijd onderwijs;man;23;15;14;11;18
Drenthe;0114;Emmen;reguliere inst.;associate degree;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);80071;Ad ICT-Beheer;voltijd onderwijs;vrouw;0;2;0;1;0
Drenthe;0114;Emmen;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);30029;B International Business;voltijd onderwijs;man;40;47;49;59;51
Drenthe;0114;Emmen;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);30029;B International Business;voltijd onderwijs;vrouw;92;91;92;82;69
Drenthe;0114;Emmen;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);34402;B Commerciele Economie;voltijd onderwijs;man;153;144;140;126;116
Drenthe;0114;Emmen;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);34402;B Commerciele Economie;voltijd onderwijs;vrouw;118;91;85;66;55
Drenthe;0114;Emmen;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);35520;B Finance & Control;voltijd onderwijs;man;131;149;128;122;97
Drenthe;0114;Emmen;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);35520;B Finance & Control;voltijd onderwijs;vrouw;47;42;47;46;42
Drenthe;0114;Emmen;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);35522;B Logistics Management;duaal onderwijs;man;2;4;5;5;2
Drenthe;0114;Emmen;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);35522;B Logistics Management;duaal onderwijs;vrouw;1;1;0;0;0
Drenthe;0114;Emmen;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);35522;B Logistics Management;voltijd onderwijs;man;101;97;78;67;71
Drenthe;0114;Emmen;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);35522;B Logistics Management;voltijd onderwijs;vrouw;31;31;23;20;24
Drenthe;0114;Emmen;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;onderwijs;leraar basisonderwijs;34808;B Opleiding tot leraar Basisonderwijs;voltijd onderwijs;man;50;56;63;79;107
Drenthe;0114;Emmen;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;onderwijs;leraar basisonderwijs;34808;B Opleiding tot leraar Basisonderwijs;voltijd onderwijs;vrouw;139;141;144;158;196
Drenthe;0114;Emmen;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34280;B Werktuigbouwkunde;duaal onderwijs;man;0;0;0;9;13
Drenthe;0114;Emmen;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34280;B Werktuigbouwkunde;voltijd onderwijs;man;97;80;87;88;69
Drenthe;0114;Emmen;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34280;B Werktuigbouwkunde;voltijd onderwijs;vrouw;1;2;3;7;6
Drenthe;0114;Emmen;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34396;B Chemie;voltijd onderwijs;man;32;35;31;24;25
Drenthe;0114;Emmen;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34396;B Chemie;voltijd onderwijs;vrouw;17;18;14;13;13
Drenthe;0114;Emmen;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34397;B Biologie en Medisch Laboratoriumonderzoek;voltijd onderwijs;man;14;23;23;28;29
Drenthe;0114;Emmen;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34397;B Biologie en Medisch Laboratoriumonderzoek;voltijd onderwijs;vrouw;23;25;27;34;40
Drenthe;0114;Emmen;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34475;B Technische Informatica;voltijd onderwijs;man;43;46;49;42;37
Drenthe;0114;Emmen;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34475;B Technische Informatica;voltijd onderwijs;vrouw;1;2;3;1;2
Drenthe;0114;Emmen;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34479;B Informatica;voltijd onderwijs;man;273;268;295;260;247
Drenthe;0114;Emmen;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34479;B Informatica;voltijd onderwijs;vrouw;25;26;24;22;21
Drenthe;0119;Meppel;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;onderwijs;leraar basisonderwijs;34808;B Opleiding tot leraar Basisonderwijs;voltijd onderwijs;man;42;41;35;24;16
Drenthe;0119;Meppel;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;onderwijs;leraar basisonderwijs;34808;B Opleiding tot leraar Basisonderwijs;voltijd onderwijs;vrouw;169;130;110;92;62
Drenthe;0119;Meppel;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;onderwijs;leraar basisonderwijs;35514;B International Teacher Education for Primary Schools (ITEps);voltijd onderwijs;man;12;23;48;52;49
Drenthe;0119;Meppel;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;onderwijs;leraar basisonderwijs;35514;B International Teacher Education for Primary Schools (ITEps);voltijd onderwijs;vrouw;59;168;240;320;363
Flevoland;0034;Almere;reguliere inst.;associate degree;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);80007;Ad Officemanagement;voltijd onderwijs;man;9;18;23;23;29
Flevoland;0034;Almere;reguliere inst.;associate degree;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);80007;Ad Officemanagement;voltijd onderwijs;vrouw;51;93;112;115;95
Flevoland;0034;Almere;reguliere inst.;associate degree;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);80080;Ad Ondernemen;voltijd onderwijs;man;51;71;73;78;88
Flevoland;0034;Almere;reguliere inst.;associate degree;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);80080;Ad Ondernemen;voltijd onderwijs;vrouw;26;38;53;54;44
Flevoland;0034;Almere;reguliere inst.;associate degree;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);80103;Ad Commerciele Economie;voltijd onderwijs;man;0;12;56;92;106
Flevoland;0034;Almere;reguliere inst.;associate degree;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);80103;Ad Commerciele Economie;voltijd onderwijs;vrouw;0;2;14;29;25
Flevoland;0034;Almere;reguliere inst.;associate degree;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);80143;Ad Finance;voltijd onderwijs;man;0;0;19;45;50
Flevoland;0034;Almere;reguliere inst.;associate degree;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);80143;Ad Finance;voltijd onderwijs;vrouw;0;0;9;25;27
Flevoland;0034;Almere;reguliere inst.;associate degree;01VU;Christelijke Hogeschool Windesheim;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);80120;Ad Sociaal Werk in de Zorg;deeltijd onderwijs;man;0;0;4;7;6
Flevoland;0034;Almere;reguliere inst.;associate degree;01VU;Christelijke Hogeschool Windesheim;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);80120;Ad Sociaal Werk in de Zorg;deeltijd onderwijs;vrouw;0;0;10;31;45
Flevoland;0034;Almere;reguliere inst.;associate degree;01VU;Christelijke Hogeschool Windesheim;onderwijs;leraar basisonderwijs;80142;Ad Pedagogisch Educatief Professional;deeltijd onderwijs;man;0;0;1;2;4
Flevoland;0034;Almere;reguliere inst.;associate degree;01VU;Christelijke Hogeschool Windesheim;onderwijs;leraar basisonderwijs;80142;Ad Pedagogisch Educatief Professional;deeltijd onderwijs;vrouw;0;0;20;50;47
Flevoland;0034;Almere;reguliere inst.;associate degree;01VU;Christelijke Hogeschool Windesheim;techniek;n.v.t. (techniek);80034;Ad Bouwkunde;duaal onderwijs;man;16;39;50;48;60
Flevoland;0034;Almere;reguliere inst.;associate degree;01VU;Christelijke Hogeschool Windesheim;techniek;n.v.t. (techniek);80034;Ad Bouwkunde;duaal onderwijs;vrouw;2;4;4;9;9
Flevoland;0034;Almere;reguliere inst.;associate degree;01VU;Christelijke Hogeschool Windesheim;techniek;n.v.t. (techniek);80130;Ad Software Development;voltijd onderwijs;man;0;76;109;114;125
Flevoland;0034;Almere;reguliere inst.;associate degree;01VU;Christelijke Hogeschool Windesheim;techniek;n.v.t. (techniek);80130;Ad Software Development;voltijd onderwijs;vrouw;0;6;9;18;22
Flevoland;0034;Almere;reguliere inst.;associate degree;30TX;Aeres Hogeschool;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);80028;Ad Bedrijfskunde en Agribusiness;voltijd onderwijs;man;2;2;0;5;8
Flevoland;0034;Almere;reguliere inst.;associate degree;30TX;Aeres Hogeschool;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);80028;Ad Bedrijfskunde en Agribusiness;voltijd onderwijs;vrouw;1;1;2;3;8
Flevoland;0034;Almere;reguliere inst.;bachelor;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);34035;B Bedrijfskunde;voltijd onderwijs;man;83;111;127;143;179
Flevoland;0034;Almere;reguliere inst.;bachelor;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);34035;B Bedrijfskunde;voltijd onderwijs;vrouw;59;78;81;94;114
