PROVINCIE;GEMEENTENUMMER;GEMEENTENAAM;SOORT INSTELLING;TYPE HOGER ONDERWIJS;BRIN NUMMER ACTUEEL;INSTELLINGSNAAM ACTUEEL;CROHO ONDERDEEL;CROHO SUBONDERDEEL;OPLEIDINGSCODE ACTUEEL;OPLEIDINGSNAAM ACTUEEL;OPLEIDINGSVORM;GESLACHT;2016;2017;2018;2019;2020
Drenthe;0114;Emmen;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);35520;B Finance & Control;voltijd onderwijs;man;23;31;18;19;18
Drenthe;0114;Emmen;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);35520;B Finance & Control;voltijd onderwijs;vrouw;13;5;10;12;6
Drenthe;0114;Emmen;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);35522;B Logistics Management;duaal onderwijs;man;0;4;2;0;0
Drenthe;0114;Emmen;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);35522;B Logistics Management;voltijd onderwijs;man;18;17;14;14;17
Drenthe;0114;Emmen;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);35522;B Logistics Management;voltijd onderwijs;vrouw;7;4;6;6;8
Drenthe;0114;Emmen;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;onderwijs;leraar basisonderwijs;34808;B Opleiding tot leraar Basisonderwijs;voltijd onderwijs;man;15;18;16;24;38
Drenthe;0114;Emmen;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;onderwijs;leraar basisonderwijs;34808;B Opleiding tot leraar Basisonderwijs;voltijd onderwijs;vrouw;39;29;33;31;59
Drenthe;0114;Emmen;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34280;B Werktuigbouwkunde;duaal onderwijs;man;0;0;0;7;3
Drenthe;0114;Emmen;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34280;B Werktuigbouwkunde;voltijd onderwijs;man;27;17;27;25;12
Drenthe;0114;Emmen;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34280;B Werktuigbouwkunde;voltijd onderwijs;vrouw;1;1;1;2;0
Drenthe;0114;Emmen;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34396;B Chemie;voltijd onderwijs;man;5;11;5;4;7
Drenthe;0114;Emmen;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34396;B Chemie;voltijd onderwijs;vrouw;7;3;3;1;2
Drenthe;0114;Emmen;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34397;B Biologie en Medisch Laboratoriumonderzoek;voltijd onderwijs;man;3;9;4;9;9
Drenthe;0114;Emmen;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34397;B Biologie en Medisch Laboratoriumonderzoek;voltijd onderwijs;vrouw;7;8;10;11;13
Drenthe;0114;Emmen;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34475;B Technische Informatica;voltijd onderwijs;man;13;8;9;4;6
Drenthe;0114;Emmen;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34475;B Technische Informatica;voltijd onderwijs;vrouw;0;1;0;0;1
Drenthe;0114;Emmen;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34479;B Informatica;voltijd onderwijs;man;72;55;87;56;39
Drenthe;0114;Emmen;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34479;B Informatica;voltijd onderwijs;vrouw;4;6;4;6;5
Drenthe;0119;Meppel;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;onderwijs;leraar basisonderwijs;34808;B Opleiding tot leraar Basisonderwijs;voltijd onderwijs;man;7;3;1;1;0
Drenthe;0119;Meppel;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;onderwijs;leraar basisonderwijs;34808;B Opleiding tot leraar Basisonderwijs;voltijd onderwijs;vrouw;37;1;3;2;0
Drenthe;0119;Meppel;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;onderwijs;leraar basisonderwijs;35514;B International Teacher Education for Primary Schools (ITEps);voltijd onderwijs;man;7;8;23;11;10
Drenthe;0119;Meppel;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;onderwijs;leraar basisonderwijs;35514;B International Teacher Education for Primary Schools (ITEps);voltijd onderwijs;vrouw;29;99;90;101;87
Flevoland;0034;Almere;reguliere inst.;associate degree;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);80007;Ad Officemanagement;voltijd onderwijs;man;5;10;11;10;10
Flevoland;0034;Almere;reguliere inst.;associate degree;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);80007;Ad Officemanagement;voltijd onderwijs;vrouw;36;56;60;54;38
Flevoland;0034;Almere;reguliere inst.;associate degree;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);80080;Ad Ondernemen;voltijd onderwijs;man;36;43;36;49;53
Flevoland;0034;Almere;reguliere inst.;associate degree;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);80080;Ad Ondernemen;voltijd onderwijs;vrouw;20;19;29;25;16
Flevoland;0034;Almere;reguliere inst.;associate degree;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);80103;Ad Commerciele Economie;voltijd onderwijs;man;0;12;47;40;36
Flevoland;0034;Almere;reguliere inst.;associate degree;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);80103;Ad Commerciele Economie;voltijd onderwijs;vrouw;0;3;10;16;9
Flevoland;0034;Almere;reguliere inst.;associate degree;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);80143;Ad Finance;voltijd onderwijs;man;0;0;17;33;25
Flevoland;0034;Almere;reguliere inst.;associate degree;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);80143;Ad Finance;voltijd onderwijs;vrouw;0;0;8;18;12
Flevoland;0034;Almere;reguliere inst.;associate degree;01VU;Christelijke Hogeschool Windesheim;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);80120;Ad Sociaal Werk in de Zorg;deeltijd onderwijs;man;0;0;4;6;4
Flevoland;0034;Almere;reguliere inst.;associate degree;01VU;Christelijke Hogeschool Windesheim;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);80120;Ad Sociaal Werk in de Zorg;deeltijd onderwijs;vrouw;0;0;9;32;22
Flevoland;0034;Almere;reguliere inst.;associate degree;01VU;Christelijke Hogeschool Windesheim;onderwijs;leraar basisonderwijs;80142;Ad Pedagogisch Educatief Professional;deeltijd onderwijs;man;0;0;1;1;3
Flevoland;0034;Almere;reguliere inst.;associate degree;01VU;Christelijke Hogeschool Windesheim;onderwijs;leraar basisonderwijs;80142;Ad Pedagogisch Educatief Professional;deeltijd onderwijs;vrouw;0;0;20;34;22
Flevoland;0034;Almere;reguliere inst.;associate degree;01VU;Christelijke Hogeschool Windesheim;techniek;n.v.t. (techniek);80034;Ad Bouwkunde;duaal onderwijs;man;16;29;31;23;29
Flevoland;0034;Almere;reguliere inst.;associate degree;01VU;Christelijke Hogeschool Windesheim;techniek;n.v.t. (techniek);80034;Ad Bouwkunde;duaal onderwijs;vrouw;2;2;2;7;5
Flevoland;0034;Almere;reguliere inst.;associate degree;01VU;Christelijke Hogeschool Windesheim;techniek;n.v.t. (techniek);80130;Ad Software Development;voltijd onderwijs;man;0;76;58;58;65
Flevoland;0034;Almere;reguliere inst.;associate degree;01VU;Christelijke Hogeschool Windesheim;techniek;n.v.t. (techniek);80130;Ad Software Development;voltijd onderwijs;vrouw;0;6;6;12;11
Flevoland;0034;Almere;reguliere inst.;associate degree;30TX;Aeres Hogeschool;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);80028;Ad Bedrijfskunde en Agribusiness;voltijd onderwijs;man;2;0;0;5;4
Flevoland;0034;Almere;reguliere inst.;associate degree;30TX;Aeres Hogeschool;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);80028;Ad Bedrijfskunde en Agribusiness;voltijd onderwijs;vrouw;0;0;1;3;3
Flevoland;0034;Almere;reguliere inst.;bachelor;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);34035;B Bedrijfskunde;voltijd onderwijs;man;19;42;39;38;44
Flevoland;0034;Almere;reguliere inst.;bachelor;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);34035;B Bedrijfskunde;voltijd onderwijs;vrouw;13;26;20;26;36
Flevoland;0034;Almere;reguliere inst.;bachelor;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);34402;B Commerciele Economie;voltijd onderwijs;man;30;33;42;61;74
Flevoland;0034;Almere;reguliere inst.;bachelor;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);34402;B Commerciele Economie;voltijd onderwijs;vrouw;11;10;12;23;26
Flevoland;0034;Almere;reguliere inst.;bachelor;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);34405;B Communicatie;voltijd onderwijs;man;8;6;9;10;16
Flevoland;0034;Almere;reguliere inst.;bachelor;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);34405;B Communicatie;voltijd onderwijs;vrouw;10;17;15;22;30
Flevoland;0034;Almere;reguliere inst.;bachelor;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);34609;B Human Resource Management;voltijd onderwijs;man;11;9;9;5;6
Flevoland;0034;Almere;reguliere inst.;bachelor;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);34609;B Human Resource Management;voltijd onderwijs;vrouw;16;32;34;28;47
Flevoland;0034;Almere;reguliere inst.;bachelor;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);35520;B Finance & Control;voltijd onderwijs;man;32;34;33;33;38
Flevoland;0034;Almere;reguliere inst.;bachelor;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);35520;B Finance & Control;voltijd onderwijs;vrouw;16;11;12;12;17
Flevoland;0034;Almere;reguliere inst.;bachelor;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);39205;B HBO - Rechten;voltijd onderwijs;man;13;23;20;36;22
Flevoland;0034;Almere;reguliere inst.;bachelor;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);39205;B HBO - Rechten;voltijd onderwijs;vrouw;38;36;70;71;90
Flevoland;0034;Almere;reguliere inst.;bachelor;01VU;Christelijke Hogeschool Windesheim;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);34116;B Social Work;deeltijd onderwijs;man;0;6;6;5;3
