PROVINCIE;GEMEENTENUMMER;GEMEENTENAAM;SOORT INSTELLING;BRIN NUMMER ACTUEEL;INSTELLINGSNAAM ACTUEEL;CROHO ONDERDEEL;CROHO SUBONDERDEEL;OPLEIDINGSCODE ACTUEEL;OPLEIDINGSNAAM ACTUEEL;OPLEIDINGSVORM;SOORT DIPLOMA;GESLACHT;2015;2016;2017;2018;2019
Friesland;0080;Leeuwarden;reguliere inst.;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34092;B Communication and Multimedia Design;voltijd onderwijs;hbo bachelor;vrouw;24;36;24;39;28
Friesland;0080;Leeuwarden;reguliere inst.;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34263;B Bouwkunde;voltijd onderwijs;hbo bachelor;man;24;28;19;15;19
Friesland;0080;Leeuwarden;reguliere inst.;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34263;B Bouwkunde;voltijd onderwijs;hbo bachelor;vrouw;7;7;5;3;3
Friesland;0080;Leeuwarden;reguliere inst.;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34267;B Elektrotechniek;voltijd onderwijs;hbo bachelor;man;13;17;21;24;30
Friesland;0080;Leeuwarden;reguliere inst.;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34267;B Elektrotechniek;voltijd onderwijs;hbo bachelor;vrouw;0;1;0;0;1
Friesland;0080;Leeuwarden;reguliere inst.;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34275;B Chemische Technologie;voltijd onderwijs;hbo bachelor;man;7;14;18;15;11
Friesland;0080;Leeuwarden;reguliere inst.;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34275;B Chemische Technologie;voltijd onderwijs;hbo bachelor;vrouw;1;0;0;1;1
Friesland;0080;Leeuwarden;reguliere inst.;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34276;B Maritieme Techniek;voltijd onderwijs;hbo bachelor;man;12;13;12;12;9
Friesland;0080;Leeuwarden;reguliere inst.;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34276;B Maritieme Techniek;voltijd onderwijs;hbo bachelor;vrouw;5;1;2;3;1
Friesland;0080;Leeuwarden;reguliere inst.;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34279;B Civiele Techniek;voltijd onderwijs;hbo bachelor;man;11;15;15;12;7
Friesland;0080;Leeuwarden;reguliere inst.;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34279;B Civiele Techniek;voltijd onderwijs;hbo bachelor;vrouw;0;1;0;0;1
Friesland;0080;Leeuwarden;reguliere inst.;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34280;B Werktuigbouwkunde;voltijd onderwijs;hbo bachelor;man;36;31;24;36;40
Friesland;0080;Leeuwarden;reguliere inst.;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34280;B Werktuigbouwkunde;voltijd onderwijs;hbo bachelor;vrouw;2;0;0;2;2
Friesland;0080;Leeuwarden;reguliere inst.;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34331;B Biotechnologie;voltijd onderwijs;hbo bachelor;man;2;1;2;1;1
Friesland;0080;Leeuwarden;reguliere inst.;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34331;B Biotechnologie;voltijd onderwijs;hbo bachelor;vrouw;2;1;3;0;4
Friesland;0080;Leeuwarden;reguliere inst.;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34396;B Chemie;voltijd onderwijs;hbo bachelor;man;3;5;3;9;3
Friesland;0080;Leeuwarden;reguliere inst.;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34396;B Chemie;voltijd onderwijs;hbo bachelor;vrouw;0;1;3;7;3
Friesland;0080;Leeuwarden;reguliere inst.;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34397;B Biologie en Medisch Laboratoriumonderzoek;voltijd onderwijs;hbo bachelor;man;9;3;6;7;5
Friesland;0080;Leeuwarden;reguliere inst.;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34397;B Biologie en Medisch Laboratoriumonderzoek;voltijd onderwijs;hbo bachelor;vrouw;19;13;23;15;14
Friesland;0080;Leeuwarden;reguliere inst.;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34421;B Technische Bedrijfskunde;deeltijd onderwijs;hbo bachelor;man;0;1;1;5;3
Friesland;0080;Leeuwarden;reguliere inst.;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34421;B Technische Bedrijfskunde;deeltijd onderwijs;hbo bachelor;vrouw;0;1;0;0;2
Friesland;0080;Leeuwarden;reguliere inst.;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34421;B Technische Bedrijfskunde;voltijd onderwijs;hbo bachelor;man;18;21;19;27;20
Friesland;0080;Leeuwarden;reguliere inst.;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34421;B Technische Bedrijfskunde;voltijd onderwijs;hbo bachelor;vrouw;4;4;0;2;5
Friesland;0080;Leeuwarden;reguliere inst.;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);35168;B Toegepaste Wiskunde;voltijd onderwijs;hbo bachelor;man;3;10;6;7;11
Friesland;0080;Leeuwarden;reguliere inst.;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);35168;B Toegepaste Wiskunde;voltijd onderwijs;hbo bachelor;vrouw;5;10;6;7;11
Friesland;0080;Leeuwarden;reguliere inst.;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);49126;M Serious Gaming;deeltijd onderwijs;hbo master;man;0;0;0;4;5
Friesland;0080;Leeuwarden;reguliere inst.;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);49126;M Serious Gaming;deeltijd onderwijs;hbo master;vrouw;0;0;0;1;2
Friesland;0080;Leeuwarden;reguliere inst.;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);80024;Ad IT Service Management;deeltijd onderwijs;hbo associate degree;man;0;1;1;0;0
Friesland;0080;Leeuwarden;reguliere inst.;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);80024;Ad IT Service Management;deeltijd onderwijs;hbo associate degree;vrouw;0;1;1;0;0
Friesland;0080;Leeuwarden;reguliere inst.;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);80024;Ad IT Service Management;voltijd onderwijs;hbo associate degree;man;1;2;1;3;2
Friesland;0080;Leeuwarden;reguliere inst.;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);80067;Ad Maritieme Techniek;voltijd onderwijs;hbo associate degree;man;0;1;1;1;2
Friesland;0093;Terschelling;reguliere inst.;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34190;B Ocean Technology;voltijd onderwijs;hbo bachelor;man;11;11;14;12;15
Friesland;0093;Terschelling;reguliere inst.;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34190;B Ocean Technology;voltijd onderwijs;hbo bachelor;vrouw;5;3;4;1;4
Friesland;0093;Terschelling;reguliere inst.;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34384;B Maritiem Officier;voltijd onderwijs;hbo bachelor;man;46;55;61;58;63
Friesland;0093;Terschelling;reguliere inst.;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34384;B Maritiem Officier;voltijd onderwijs;hbo bachelor;vrouw;4;1;5;9;1
Friesland;0093;Terschelling;reguliere inst.;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);49122;M Marine Shipping Innovations;deeltijd onderwijs;hbo master;man;0;4;1;1;2
Friesland;0093;Terschelling;reguliere inst.;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);49122;M Marine Shipping Innovations;deeltijd onderwijs;hbo master;vrouw;0;0;2;1;0
Gelderland;0200;Apeldoorn;reguliere inst.;23AH;Saxion Hogeschool;economie;n.v.t. (economie);34411;B Hotel Management;deeltijd onderwijs;hbo bachelor;man;1;3;1;0;1
Gelderland;0200;Apeldoorn;reguliere inst.;23AH;Saxion Hogeschool;economie;n.v.t. (economie);34411;B Hotel Management;deeltijd onderwijs;hbo bachelor;vrouw;1;2;1;1;4
Gelderland;0200;Apeldoorn;reguliere inst.;23AH;Saxion Hogeschool;economie;n.v.t. (economie);34411;B Hotel Management;duaal onderwijs;hbo bachelor;man;0;1;0;0;0
Gelderland;0200;Apeldoorn;reguliere inst.;23AH;Saxion Hogeschool;economie;n.v.t. (economie);34411;B Hotel Management;duaal onderwijs;hbo bachelor;vrouw;1;0;0;0;0
Gelderland;0200;Apeldoorn;reguliere inst.;23AH;Saxion Hogeschool;economie;n.v.t. (economie);34411;B Hotel Management;voltijd onderwijs;hbo bachelor;man;7;32;17;22;29
Gelderland;0200;Apeldoorn;reguliere inst.;23AH;Saxion Hogeschool;economie;n.v.t. (economie);34411;B Hotel Management;voltijd onderwijs;hbo bachelor;vrouw;51;85;58;61;84
Gelderland;0200;Apeldoorn;reguliere inst.;23AH;Saxion Hogeschool;economie;n.v.t. (economie);39268;B Integrale Veiligheidskunde;deeltijd onderwijs;hbo bachelor;man;4;2;4;9;9
Gelderland;0200;Apeldoorn;reguliere inst.;23AH;Saxion Hogeschool;economie;n.v.t. (economie);39268;B Integrale Veiligheidskunde;deeltijd onderwijs;hbo bachelor;vrouw;0;1;0;0;0
Gelderland;0200;Apeldoorn;reguliere inst.;23AH;Saxion Hogeschool;economie;n.v.t. (economie);39268;B Integrale Veiligheidskunde;voltijd onderwijs;hbo bachelor;man;20;27;25;28;33
Gelderland;0200;Apeldoorn;reguliere inst.;23AH;Saxion Hogeschool;economie;n.v.t. (economie);39268;B Integrale Veiligheidskunde;voltijd onderwijs;hbo bachelor;vrouw;4;2;6;9;5
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);30029;B International Business;voltijd onderwijs;hbo bachelor;man;44;42;61;71;64
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);30029;B International Business;voltijd onderwijs;hbo bachelor;vrouw;45;78;83;96;90
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);34035;B Bedrijfskunde;deeltijd onderwijs;hbo bachelor;man;4;11;2;2;5
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);34035;B Bedrijfskunde;deeltijd onderwijs;hbo bachelor;vrouw;3;7;2;5;5
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);34035;B Bedrijfskunde;duaal onderwijs;hbo bachelor;man;1;0;1;1;2
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);34035;B Bedrijfskunde;duaal onderwijs;hbo bachelor;vrouw;1;2;4;2;3
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);34035;B Bedrijfskunde;voltijd onderwijs;hbo bachelor;man;24;28;26;17;34
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);34035;B Bedrijfskunde;voltijd onderwijs;hbo bachelor;vrouw;27;18;11;5;15
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);34402;B Commerciele Economie;deeltijd onderwijs;hbo bachelor;man;4;2;3;7;6
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);34402;B Commerciele Economie;deeltijd onderwijs;hbo bachelor;vrouw;0;1;0;1;2
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);34402;B Commerciele Economie;duaal onderwijs;hbo bachelor;man;3;6;5;6;11
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);34402;B Commerciele Economie;duaal onderwijs;hbo bachelor;vrouw;1;2;0;4;5
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);34402;B Commerciele Economie;voltijd onderwijs;hbo bachelor;man;38;36;31;44;45
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);34402;B Commerciele Economie;voltijd onderwijs;hbo bachelor;vrouw;16;10;11;14;15
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);34405;B Communicatie;voltijd onderwijs;hbo bachelor;man;14;11;16;15;26
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);34405;B Communicatie;voltijd onderwijs;hbo bachelor;vrouw;42;41;41;51;46
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);34406;B Accountancy;deeltijd onderwijs;hbo bachelor;man;3;2;1;3;4
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);34406;B Accountancy;deeltijd onderwijs;hbo bachelor;vrouw;1;0;2;2;2
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);34406;B Accountancy;duaal onderwijs;hbo bachelor;man;10;18;15;5;13
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);34406;B Accountancy;duaal onderwijs;hbo bachelor;vrouw;11;9;3;12;8
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);34406;B Accountancy;voltijd onderwijs;hbo bachelor;man;16;12;14;23;13
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);34406;B Accountancy;voltijd onderwijs;hbo bachelor;vrouw;13;4;5;10;8
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);35517;B Finance, Tax and Advice;deeltijd onderwijs;hbo bachelor;man;7;11;9;11;7
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);35517;B Finance, Tax and Advice;deeltijd onderwijs;hbo bachelor;vrouw;8;2;2;3;3
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);35517;B Finance, Tax and Advice;voltijd onderwijs;hbo bachelor;man;18;33;34;22;35
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);35517;B Finance, Tax and Advice;voltijd onderwijs;hbo bachelor;vrouw;11;16;15;23;25
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);35520;B Finance & Control;deeltijd onderwijs;hbo bachelor;man;3;7;2;2;0
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);35520;B Finance & Control;deeltijd onderwijs;hbo bachelor;vrouw;1;3;0;2;5
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);35520;B Finance & Control;voltijd onderwijs;hbo bachelor;man;51;43;51;35;45
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);35520;B Finance & Control;voltijd onderwijs;hbo bachelor;vrouw;15;16;20;9;19
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);35522;B Logistics Management;deeltijd onderwijs;hbo bachelor;man;11;6;6;8;8
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);35522;B Logistics Management;deeltijd onderwijs;hbo bachelor;vrouw;3;2;2;3;1
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);35522;B Logistics Management;duaal onderwijs;hbo bachelor;man;2;4;2;2;2
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);35522;B Logistics Management;duaal onderwijs;hbo bachelor;vrouw;1;2;0;0;0
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);35522;B Logistics Management;voltijd onderwijs;hbo bachelor;man;23;28;24;40;27
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);35522;B Logistics Management;voltijd onderwijs;hbo bachelor;vrouw;9;14;17;24;18
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);35523;B Ondernemerschap & Retail Management;duaal onderwijs;hbo bachelor;man;1;2;2;0;0
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);35523;B Ondernemerschap & Retail Management;duaal onderwijs;hbo bachelor;vrouw;3;0;1;0;0
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);35523;B Ondernemerschap & Retail Management;voltijd onderwijs;hbo bachelor;man;26;28;38;0;0
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);35523;B Ondernemerschap & Retail Management;voltijd onderwijs;hbo bachelor;vrouw;8;16;10;0;0
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);39205;B HBO - Rechten;deeltijd onderwijs;hbo bachelor;man;5;2;8;3;5
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);39205;B HBO - Rechten;deeltijd onderwijs;hbo bachelor;vrouw;9;4;11;5;10
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);39205;B HBO - Rechten;voltijd onderwijs;hbo bachelor;man;14;20;11;15;17
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);39205;B HBO - Rechten;voltijd onderwijs;hbo bachelor;vrouw;34;44;46;42;35
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);80008;Ad Accountancy;deeltijd onderwijs;hbo associate degree;man;3;3;0;1;4
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);80008;Ad Accountancy;deeltijd onderwijs;hbo associate degree;vrouw;7;2;1;2;2
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);80008;Ad Accountancy;duaal onderwijs;hbo associate degree;man;2;1;4;9;11
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);80008;Ad Accountancy;duaal onderwijs;hbo associate degree;vrouw;1;1;1;8;3
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);80008;Ad Accountancy;voltijd onderwijs;hbo associate degree;man;2;6;4;0;0
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);80008;Ad Accountancy;voltijd onderwijs;hbo associate degree;vrouw;7;4;1;0;0
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);80074;Ad Bedrijfskunde;deeltijd onderwijs;hbo associate degree;man;0;0;0;10;8
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);80074;Ad Bedrijfskunde;deeltijd onderwijs;hbo associate degree;vrouw;0;0;0;6;5
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);80074;Ad Bedrijfskunde;duaal onderwijs;hbo associate degree;man;0;0;0;1;3
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);80074;Ad Bedrijfskunde;duaal onderwijs;hbo associate degree;vrouw;0;0;0;1;5
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);80135;Ad Online Marketing en Sales;deeltijd onderwijs;hbo associate degree;man;0;0;0;0;4
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);80135;Ad Online Marketing en Sales;deeltijd onderwijs;hbo associate degree;vrouw;0;0;0;2;2
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);80135;Ad Online Marketing en Sales;duaal onderwijs;hbo associate degree;man;0;0;0;1;4
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);80135;Ad Online Marketing en Sales;duaal onderwijs;hbo associate degree;vrouw;0;0;0;1;2
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);80136;Ad Juridisch medewerker;deeltijd onderwijs;hbo associate degree;man;0;0;0;2;0
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);80136;Ad Juridisch medewerker;deeltijd onderwijs;hbo associate degree;vrouw;0;0;0;0;3
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);80149;Ad Logistics Management;deeltijd onderwijs;hbo associate degree;man;0;0;0;7;16
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);80149;Ad Logistics Management;deeltijd onderwijs;hbo associate degree;vrouw;0;0;0;3;5
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);80149;Ad Logistics Management;duaal onderwijs;hbo associate degree;man;0;0;0;0;3
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);80149;Ad Logistics Management;duaal onderwijs;hbo associate degree;vrouw;0;0;0;1;5
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;onderwijs;leraar basisonderwijs;34808;B Opleiding tot leraar Basisonderwijs;deeltijd onderwijs;hbo bachelor;man;1;4;2;0;0
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;onderwijs;leraar basisonderwijs;34808;B Opleiding tot leraar Basisonderwijs;deeltijd onderwijs;hbo bachelor;vrouw;6;2;5;4;0
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;onderwijs;leraar basisonderwijs;34808;B Opleiding tot leraar Basisonderwijs;voltijd onderwijs;hbo bachelor;man;10;20;14;23;20
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;onderwijs;leraar basisonderwijs;34808;B Opleiding tot leraar Basisonderwijs;voltijd onderwijs;hbo bachelor;vrouw;53;49;62;68;39
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;techniek;n.v.t. (techniek);30018;B Automotive;deeltijd onderwijs;hbo bachelor;man;8;5;7;7;11
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;techniek;n.v.t. (techniek);30018;B Automotive;voltijd onderwijs;hbo bachelor;man;96;99;120;95;136
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;techniek;n.v.t. (techniek);30018;B Automotive;voltijd onderwijs;hbo bachelor;vrouw;3;2;1;2;4
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;techniek;n.v.t. (techniek);30020;B HBO-ICT;deeltijd onderwijs;hbo bachelor;man;16;23;25;18;19
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;techniek;n.v.t. (techniek);30020;B HBO-ICT;deeltijd onderwijs;hbo bachelor;vrouw;4;3;2;2;1
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;techniek;n.v.t. (techniek);30020;B HBO-ICT;voltijd onderwijs;hbo bachelor;man;83;104;80;83;95
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;techniek;n.v.t. (techniek);30020;B HBO-ICT;voltijd onderwijs;hbo bachelor;vrouw;14;11;3;3;6
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;techniek;n.v.t. (techniek);34092;B Communication and Multimedia Design;deeltijd onderwijs;hbo bachelor;man;16;5;7;6;4
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;techniek;n.v.t. (techniek);34092;B Communication and Multimedia Design;deeltijd onderwijs;hbo bachelor;vrouw;6;5;6;3;1
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;techniek;n.v.t. (techniek);34092;B Communication and Multimedia Design;voltijd onderwijs;hbo bachelor;man;92;106;125;108;82
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;techniek;n.v.t. (techniek);34092;B Communication and Multimedia Design;voltijd onderwijs;hbo bachelor;vrouw;34;45;64;61;56
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;techniek;n.v.t. (techniek);34263;B Bouwkunde;deeltijd onderwijs;hbo bachelor;man;16;8;13;9;16
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;techniek;n.v.t. (techniek);34263;B Bouwkunde;deeltijd onderwijs;hbo bachelor;vrouw;1;1;2;0;0
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;techniek;n.v.t. (techniek);34263;B Bouwkunde;voltijd onderwijs;hbo bachelor;man;68;58;55;57;59
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;techniek;n.v.t. (techniek);34263;B Bouwkunde;voltijd onderwijs;hbo bachelor;vrouw;9;14;18;23;17
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;techniek;n.v.t. (techniek);34267;B Elektrotechniek;deeltijd onderwijs;hbo bachelor;man;21;13;28;26;9
Gelderland;0202;Arnhem;reguliere inst.;25KB;Hogeschool van Arnhem en Nijmegen;techniek;n.v.t. (techniek);34267;B Elektrotechniek;deeltijd onderwijs;hbo bachelor;vrouw;1;1;1;1;0
