PROVINCIE;GEMEENTENUMMER;GEMEENTENAAM;SOORT INSTELLING;BRIN NUMMER ACTUEEL;INSTELLINGSNAAM ACTUEEL;CROHO ONDERDEEL;CROHO SUBONDERDEEL;OPLEIDINGSCODE ACTUEEL;OPLEIDINGSNAAM ACTUEEL;OPLEIDINGSVORM;SOORT DIPLOMA;GESLACHT;2015;2016;2017;2018;2019
Drenthe;0114;Emmen;reguliere inst.;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34280;B Werktuigbouwkunde;voltijd onderwijs;hbo bachelor;vrouw;1;0;0;0;1
Drenthe;0114;Emmen;reguliere inst.;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34396;B Chemie;voltijd onderwijs;hbo bachelor;man;6;6;8;4;5
Drenthe;0114;Emmen;reguliere inst.;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34396;B Chemie;voltijd onderwijs;hbo bachelor;vrouw;0;1;4;2;3
Drenthe;0114;Emmen;reguliere inst.;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34397;B Biologie en Medisch Laboratoriumonderzoek;voltijd onderwijs;hbo bachelor;man;1;1;1;3;3
Drenthe;0114;Emmen;reguliere inst.;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34397;B Biologie en Medisch Laboratoriumonderzoek;voltijd onderwijs;hbo bachelor;vrouw;2;4;2;2;4
Drenthe;0114;Emmen;reguliere inst.;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34475;B Technische Informatica;voltijd onderwijs;hbo bachelor;man;3;5;5;5;6
Drenthe;0114;Emmen;reguliere inst.;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34475;B Technische Informatica;voltijd onderwijs;hbo bachelor;vrouw;0;0;0;1;0
Drenthe;0114;Emmen;reguliere inst.;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34479;B Informatica;voltijd onderwijs;hbo bachelor;man;23;28;27;43;41
Drenthe;0114;Emmen;reguliere inst.;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34479;B Informatica;voltijd onderwijs;hbo bachelor;vrouw;0;1;4;7;1
Drenthe;0114;Emmen;reguliere inst.;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);80071;Ad ICT-Beheer;voltijd onderwijs;hbo associate degree;man;0;3;1;1;0
Drenthe;0119;Meppel;reguliere inst.;31FR;NHL Stenden Hogeschool;onderwijs;leraar basisonderwijs;34808;B Opleiding tot leraar Basisonderwijs;voltijd onderwijs;hbo bachelor;man;7;5;4;12;5
Drenthe;0119;Meppel;reguliere inst.;31FR;NHL Stenden Hogeschool;onderwijs;leraar basisonderwijs;34808;B Opleiding tot leraar Basisonderwijs;voltijd onderwijs;hbo bachelor;vrouw;17;33;28;24;20
Drenthe;0119;Meppel;reguliere inst.;31FR;NHL Stenden Hogeschool;onderwijs;leraar basisonderwijs;35514;B International Teacher Education for Primary Schools (ITEps);voltijd onderwijs;hbo bachelor;man;0;0;1;2;8
Drenthe;0119;Meppel;reguliere inst.;31FR;NHL Stenden Hogeschool;onderwijs;leraar basisonderwijs;35514;B International Teacher Education for Primary Schools (ITEps);voltijd onderwijs;hbo bachelor;vrouw;0;1;8;17;26
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);34035;B Bedrijfskunde;voltijd onderwijs;hbo bachelor;man;6;9;11;20;14
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);34035;B Bedrijfskunde;voltijd onderwijs;hbo bachelor;vrouw;3;6;16;13;13
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);34402;B Commerciele Economie;voltijd onderwijs;hbo bachelor;man;9;15;21;29;42
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);34402;B Commerciele Economie;voltijd onderwijs;hbo bachelor;vrouw;7;5;9;11;14
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);34405;B Communicatie;voltijd onderwijs;hbo bachelor;man;2;1;1;4;6
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);34405;B Communicatie;voltijd onderwijs;hbo bachelor;vrouw;7;5;11;7;7
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);34609;B Human Resource Management;voltijd onderwijs;hbo bachelor;man;4;2;8;6;7
